SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
1;"1";1;Landbrug, skovbrug og fiskeri;;;;;;
2;"01.11.00";2;Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø;Branchen omfatter dyrkning af alle former for korn (undtagen ris), bælgfrugter og olieholdige frø.;"Dyrkning af korn som:
- Hvede
- Majs
- Durra
- Byg
- Rug
- Havre
- Hirse
- Boghvede
- Andre kornsorter i.a.n.
Dyrkning af bælgfrugter som:
- Bønner
- Hestebønner
- Kikærter
- Koærter
- Linser
- Lupiner
- Ærter
- Ærtebønner
- Andre bælgfrugter
Dyrkning af olieholdige frø som:
- Sojabønner
- Jordnødder
- Bomuldsfrø
- Ricinusfrø
- Hørfrø
- Sennepsfrø
- Nigerfrø
- Rapsfrø
- Saflorfrø
- Sesamfrø
- Solsikkefrø
- Andre olieholdige frø";;"- Dyrkning af ris, jf.<ref>01.12.00</ref>
- Dyrkning af sukkermajs, jf.<ref>01.13.00</ref>
- Dyrkning af fodermajs, jf.<ref>01.19.00</ref>
- Dyrkning af olieholdige frugter, jf.<ref>01.26.00</ref>";;
3;"01.12.00";2;Dyrkning af ris;Branchen omfatter dyrkning af ris.;Dyrkning af ris;;;;
4;"01.13.00";2;Dyrkning af grøntsager og meloner, rødder og rodknolde;Branchen omfatter dyrkning af grøntsager og meloner, som fx agurker, tomater, kartofler, maniok og honningmelon. Dyrkning af krydderiplanter og aromaplanter henvises til 01.30.00;"Dyrkning af bladgrøntsager eller stængelgrøntsager som:
- Artiskokker
- Asparges
- Kål
- Blomkål og broccoli
- Salat og cikorie
- Spinat
- Andre bladgrøntsager eller stængelgrøntsager
- Dyrkning af frugtbærende grøntsager som:
- Agurker og drueagurker
- Auberginer
- Tomater
- Vandmeloner
- Kantalupmeloner
- Andre meloner og frugtbærende grøntsager
- Dyrkning af rod-, løg- eller knoldgrøntsager som:
- Gulerødder
- Turnips
- Hvidløg
- Løg (herunder skalotteløg)
- Porrer og andre alliumarter
- Andre rod-, løg- eller knoldgrøntsager
Dyrkning af svampe og trøfler
Dyrkning af champignoner
Dyrkning af grøntsagsfrø, herunder sukkerroefrø, bortset fra andre roefrø
Dyrkning af sukkermajs
Dyrkning af sukkerroer
Dyrkning af andre grøntsager
Dyrkning af rødder og rodknolde som:
- Kartofler
- Søde kartofler
- Maniok
- Yams
- Andre rødder og rodknolde";;"- Dyrkning af chilipebere, peberfrugter (capsicum sop.) og andre krydderiplanter og aromaplanter, jf.<ref>01.28.00</ref>
- Dyrkning af svampemycelium til formering, jf.<ref>01.30.00</ref>";;
5;"01.14.00";2;Dyrkning af sukkerrør;Branchen omfatter dyrkning af sukkerrør. Dyrkning af sukkerroer henvises til 01.13.00;;;Dyrkning af sukkerroer, jf.<ref>01.13.00</ref>;;
6;"01.15.00";2;Dyrkning af tobak;Branchen omfatter dyrkning af tobak.;"Dyrkning af tobak:
- Tørret/strippet tobak";;;;
7;"01.16.00";2;Dyrkning af tekstilplanter;Branchen omfatter dyrkning af fx bomuld, jute, hør og hamp, sisal, abaca samt rødning af tekstilplanter.;"Dyrkning af bomuld
Dyrkning af jute, kenaf og andre stængelfibre
Dyrkning af hør og hamp
Dyrkning af sisal og andre agavefibre
Dyrkning af abaca, ramie og andre tekstilfiberplanter
Dyrkning af andre tekstilplanter
Rødning af planter med vegetabilske tekstilfibre (jute, hør, kokosfibre mv.)";;;;
8;"01.19.00";2;Dyrkning af andre etårige afgrøder;Branchen omfatter dyrkning af foderafgrøder, helsæd, roefrø og frø fra foderplanter samt dyrkning og fremstilling af blomster, snitblomster, blomsterknopper og blomsterfrø.;"Dyrkning af alle andre etårige afgrøder:
- Dyrkning af fodermajs, helsæd, kløver, lucerne og andre græsser til foder
- Dyrkning af fodersukkerroer, kålroer, kålrabier, fodermarkkål og andre rodfrugter
til foder
- Dyrkning af roefrø (bortset fra sukkerroefrø) og frø fra foderplanter
- Dyrkning af blomster
- Fremstilling af snitblomster og blomsterknopper
- Dyrkning af blomsterfrø";;Dyrkning af etårige krydderiplanter, aromaplanter og lægeplanter, jf.<ref>01.28.00</ref>;;
9;"01.21.00";2;Dyrkning af druer;Branchen omfatter dyrkning af druer, herunder presningsdruer samt spisedruer i vingårde. Fremstilling af vin henvises til 11.02.00;Dyrkning af presningsdruer og spisedruer i vingårde;;- Fremstilling af vin, jf.<ref>11.02.00</ref>;;
10;"01.22.00";2;Dyrkning af tropiske og subtropiske frugter;Branchen omfatter dyrkning af tropiske og subtropiske frugter, som fx avocado, ananas, bananer, dadler og figner, mango og papaja.;"Dyrkning af tropiske og subtropiske frugter:
- Avocadoer
- Ananas
- Bananer og pisangbananer
- Dadler
- Figner
- Mangofrugter
- Papajafrugter
- Andre tropiske og subtropiske frugter";;;;
11;"01.23.00";2;Dyrkning af citrusfrugter;Branchen omfatter dyrkning af citrusfrugter, som fx grapefrugt, citron, lime, pompelmus, appelsiner, tangeriner mm.;"Dyrkning af citrusfrugter:
- Grapefrugt og pompelmus
- Citroner og limefrugter
- Appelsiner
- Tangeriner, mandariner og klementiner
- Andre citrusfrugter";;;;
12;"01.24.00";2;Dyrkning af kernefrugter og stenfrugter;Branchen omfatter dyrkning af frugter med sten eller kerner, som fx æbler, pærer, kvæder, abrikoser, kirsebær, ferskner, blommer og slåen.;"Dyrkning af kernefrugter og stenfrugter:
- Æbler
- Abrikoser
- Kirsebær og surkirsebær
- Ferskner og nektariner
- Pærer og kvæder
- Blommer og slåen
- Andre kernefrugter og stenfrugter";;;;
13;"01.25.00";2;Dyrkning af andre træfrugter, bær og nødder;Branchen omfatter dyrkning af bær og nødder, som fx blåbær, ribs og solbær, stikkelsbær, hindbær og jordbær og kiwifrugter. Branchen omfatter også dyrkning af frugtfrø samt dyrkning af spiselige nødder, bortset fra kokosnødder, som henvises til 01.26.00;"Dyrkning af bær:
- Blåbær
- Ribs og solbær
- Stikkelsbær
- Kiwifrugter
- Hindbær
- Jordbær
- Andre bær
Dyrkning af frugtfrø
Dyrkning af spiselige nødder:
- Mandler
- Cashewnødder
- Kastanjer
- Hasselnødder
- Pistacienødder
- Valnødder
- Andre nødder
Dyrkning af andre træfrugter og bær";;Dyrkning af kokosnødder, jf.<ref>01.26.00</ref>;;
14;"01.26.00";2;Dyrkning af olieholdige frugter;Branchen omfatter dyrkning af olieholdige frugter, som fx kokosnødder, oliven og olieplanter. Branchen omfatter ikke dyrkning af sojabønner, jordnødder og andre olieholdige frø.;"Dyrkning af olieholdige frugter:
- Kokosnødder
- Oliven
- Oliepalmer
- Andre olieholdige frugter";;Dyrkning af sojabønner, jordnødder og andre olieholdige frø, jf.<ref>01.11.00</ref>;;
15;"01.27.00";2;Dyrkning af planter til fremstilling af drikkevarer;Branchen omfatter dyrkning af planter til fremstilling af drikkevarer, som fx kaffe, te, mate, kakao.;"Dyrkning af planter til fremstilling af drikkevarer:
- Kaffe
- Te
- Mate
- Kakao
- Andre planter til fremstilling af drikkevarer";;;;
16;"01.28.00";2;Dyrkning af krydderiplanter, aromaplanter og lægeplanter;Branchen omfatter dyrkning af krydderiplanter, aromaplanter og lægeplanter, som fx peber, chilipeber, muskatnødder, anis og kartemomme, kanel, ingefær, vanilje og humle.;"Dyrkning af flerårige og etårige krydderiplanter og aromaplanter:
- Peber (piper sop.)
- Chilipebere og peberfrugter (capsicum sop.)
- Muskatnødder, muskatblommer og kardemomme
- Anisfrø, stjerneanis og fennikel
- Kanel
- Kryddernelliker
- Ingefær
- Vanilje
- Humle
- Andre krydderiplanter og aromaplanter
Dyrkning af lægeplanter og narkotikaplanter
Dyrkning af planter, der primært anvendes til parfume, farmakologi eller som insektdræbende eller svampedræbende midler eller til lignende formål";;;;
17;"01.29.00";2;Dyrkning af andre flerårige afgrøder;Branchen omfatter dyrkning af fx juletræer, træer til udvinding af plantesaft og plantemateriale til brug for fletning. Branchen omfatter også dyrkning af gummitræer til udvinding af latex.;"- Dyrkning af gummitræer til udvinding af latex
- Dyrkning af juletræer
- Dyrkning af træer til udvinding af plantesaft
- Dyrkning af plantemateriale til brug ved fletning";;"- Udvinding af plantesaft fra træer eller gummilignende gummier i naturen, jf.<ref>02.30.00</ref>
- Indsamling af blomster, dyrkning af snitblomster, samt dyrkning af blomsterfrø, jf.<ref>01.19.00</ref>";;
18;"01.30.00";2;Planteformering;Branchen omfatter fremstilling af stiklinger, rodskud, sideskud og kimplanter til direkte planteformering eller med henblik på podning til eventuel udplantning.;"- Planteskoler
- Dyrkning af planter til udplantning
- Dyrkning af prydplanter, herunder græs til udlægning
- Dyrkning af planter til fremstilling af løg, rodknolde og rødder, stiklinger og aflæggere, svampemycelium til formering
- Drift af træplanteskoler, bortset fra forstplanteskoler";;"- Drift af forstplanteskoler, jf.<ref>02.10.00</ref>
- Drift af havecentre, jf.<ref>47.76.20</ref>
- Dyrkning af frø, jf.<ref>01.1</ref>. og<ref>01.2</ref>";;
19;"01.41.00";2;Avl af malkekvæg;Branchen omfatter opdræt og avl af malkekvæg. Forarbejdning af mælk henvises til 10.51.00;"- Opdræt og avl af malkekvæg
- Fremstilling af rå mælk fra køer og bøfler";;- Forarbejdning af mælk, jf.<ref>10.51.00</ref>;;
20;"01.42.00";2;Avl af andet kvæg og bøfler;Branchen omfatter opdræt og avl af andet kvæg og bøfler til kødproduktion samt fremstilling af tyresæd. Avl af malkekvæg henvises til 01.41.00;"- Opdræt og avl af kvæg og bøfler til kødproduktion
- Fremstilling af tyresæd";;;;
21;"01.43.00";2;Avl af heste og dyr af hestefamilien;Branchen omfatter opdræt og avl af heste og dyr af hestefamilien som fx æsler, muldyr og mulæsler. Drift af stalde for væddeløbsheste og rideskoler henvises til 93.19.00;- Opdræt og avl af heste, æsler, muldyr og mulæsler;;- Drift af stalde for væddeløbsheste og rideskoler, jf.<ref>93.19.00</ref>;;
22;"01.44.00";2;Avl af kameler og dyr af kamelfamilien;Branchen omfatter opdræt og avl af kameler og dyr af kamelfamilien, som fx dromedarer.;- Opdræt og avl af kameler (dromedarer) og dyr af kamelfamilien;;;;
23;"01.45.00";2;Avl af får og geder;Branchen omfatter opdræt og avl af får og geder, herunder også fremstilling af rå fåremælk og gedemælk samt råuld. Klipning af får mod betaling henvises til 01.62.00. Fremstilling af opkradset uld henvises til 10.11.90 og forarbejdning af mælk henvises til 10.51.00;"- Opdræt og avl af får og geder
- Fremstilling af rå fåre- og gedemælk
- Fremstilling af råuld";;"- Klipning af får på honorar- eller på kontraktbasis, jf.<ref>01.62.00</ref>
- Fremstilling af opkradset uld, jf.<ref>10.11.90</ref>
- Forarbejdning af mælk, jf.<ref>10.51.00</ref>";;
24;"01.46.10";2;Avl af smågrise;Branchen omfatter produktion og avl af smågrise.;;;;;
25;"01.46.20";2;Produktion af slagtesvin;Branchen omfatter produktion af slagtesvin.;;;;;
26;"01.47.00";2;Fjerkræavl;Branchen omfatter opdræt og avl af fjerkræ, herunder slagtekyllinger, høns, kalkuner, ænder, gæs og perlehøns. Branchen omfatter også ægproduktion og drift af fjerkrærugerier, men fremstilling af fjer og dun henvises til 10.12.00;"Opdræt og avl af fjerkræ:
- Slagtekyllinger, høns, kalkuner, ænder, gæs og perlehøns
Ægproduktion
Drift af fjerkrærugerier";;- Fremstilling af fjer og dun, jf.<ref>10.12.00</ref>;;
27;"01.49.10";2;Kenneler;Branchen omfatter kun opdræt af hunde. Virksomheder, der passer hunde for hundenes ejere, henvises til 96.09.00 Andre personlige serviceydelser i.a.n. Virksomheder, der træner vagthunde henvises til 74.90.90 Andre liberale, videnskabelige og tekniske tjenesteydelser i.a.n;- Opdræt af hunde;;"- Pasning af hunde, jf.<ref>96.09.00</ref>
- Dressur af vagthunde, jf.<ref>74.90.90</ref>";;
28;"01.49.20";2;Avl af pelsdyr mv.;Branchen omfatter opdræt af levende dyr og insekter, som fx mink, kaniner, strudse, emuer, insekter, biavl, orme- eller sneglefarme, samt opdræt af kæledyr (bortset fra hunde og fisk). Udover opdræt omfatter branchen også fremstilling af ubehandlede pelsskind, krybdyr- eller fugleskind fra opdrættede dyr. Branchen omfatter ikke opdræt af husdyr, som fx heste, køer og grise.;"Opdræt og avl af andre levende dyr:
- Strudse og emuer
- Andre fugle
- Insekter
- Mink
- Kaniner og andre pelsdyr
Fremstilling af rå pelsskind, krybdyr- eller fugleskind fra opdrættede dyr
Drift af ormefarme, landbaserede bløddyrfarme, sneglefarme mv.
Opdræt af silkeorme, fremstilling af silkeormekokoner
Biavl og fremstilling af honning og bivoks
Opdræt og avl af kæledyr (bortset fra hunde og fisk):
- Katte
- Fugle, fx parakitter mv.
- Hamstere mv.
Opdræt af forskellige dyr";;"- Produktion af huder og skind af dyr fra jagt og fældefangst, jf.<ref>01.70.00</ref>
- Drift af frøfarme, krokodillefarme, havbaserede ormefarme, jf.<ref>03.21.00</ref>,<ref>03.22.00</ref>
- Dambrugsdrift, jf.<ref>03.21.00</ref>,<ref>03.22.00</ref>
- Opstaldning og dressur af kæledyr, jf.<ref>96.09.00</ref>
- Opdræt af fjerkræ, jf.<ref>01.47.00</ref>";;
29;"01.50.00";2;Blandet drift;Branchen omfatter kombineret produktion af afgrøder og dyr, hvor hverken produktion af afgrøder eller dyr er klart dominerende i indtjeningen.;- Kombineret produktion af afgrøder og dyr uden en specialiseret produktion af afgrøder eller dyr. Landbrugsbedriftens generelle størrelse er ikke en afgørende faktor. Hvis enten produktion af afgrøder eller dyr i en givet bedrift overskrider 66 % af standarddækningsbidraget, skal den kombinerede aktivitet ikke medtages her, men klassificeres under dyrkning af afgrøder eller opdræt og avl af dyr;;"- Dyrkning af blandede afgrøder, jf. gruppe <ref>01.1</ref> og <ref>01.2</ref>
- Blandet husdyravl, jf. gruppe <ref>01.4</ref>";;
30;"01.61.00";2;Serviceydelser i forbindelse med planteavl;Branchen omfatter serviceydelser (på honorar- eller kontraktbasis), som fx sprøjtning af afgrøder, beskæring af frugttræer, høst, halmpresning, frugtpakning, landbrugsmaskinstationer mv. Udlejning af landbrugsmaskiner med betjeningspersonale er også omfattet.;"Serviceydelser i forbindelse med planteavl
Landbrugsaktiviteter på honorar- eller på kontraktbasis:
- Forberedelse af marker
- Etablering af afgrøder
- Behandling af afgrøder
- Sprøjtning af afgrøder, herunder fra luften
- Udbringning af husdyrgødning
- Beskæring af frugttræer og vinplanter
- Omplantning af ris, udtynding af roer
- Høst
- Skadedyrsbekæmpelse (herunder kaniner) inden for landbruget
Vedligeholdelse af landbrugsjord i god landbrugsmæssig og økologisk stand
Halmpresning
Frugtpakning
Drift af kunstvandingsudstyr
Landbrugsmaskinstationer";- Udlejning af landbrugsmaskiner med betjeningspersonale;"- Forarbejdning af afgrøder efter høst, jf. <ref>01.63.00</ref>
- Dræning af landbrugsarealer, jf.<ref>43.12.00</ref>
- Landskabsarkitektur, jf.<ref>71.11.00</ref>
- Agronomers og landbrugsøkonomers virksomhed, jf.<ref>74.90.10</ref>
- Havearkitektur, beplantning, jf.<ref>81.30.00</ref>
- Afholdelse af landbrugsudstillinger og -messer, jf.<ref>82.30.00</ref>";;
31;"01.62.00";2;Serviceydelser i forbindelse med husdyravl;Branchen omfatter beslagsmede, fåreklippere, kvægdrivere samt virksomheder, der beskæftiger sig med opstaldning og pasning af husdyr (ikke kæledyr), men ikke virksomheder, der beskæftiger sig med udlejning af husdyr eller staldplads uden pasning.;"Serviceydelser i forbindelse med husdyravl
Landbrugsaktiviteter på honorar- eller på kontraktbasis:
- Aktiviteter til fremme af formering, vækst og udbytte af husdyr
- Serviceydelser til prøvning af hjorde, serviceydelser til kvægdrivning, serviceydelser til græsning, kastrering af fjerkræ, rengøring af hønsehuse mv.
- Aktiviteter i forbindelse med kunstig insemination
- Serviceydelser til bedækning
- Klipning af får
- Opstaldning og pasning af husdyr";- Beslagsmedes virksomhed;"- Udlejning af plads udelukkende til opstaldning af husdyr, jf.<ref>68.20</ref>
- Dyrlægevirksomhed, jf.<ref>75.00.00</ref>
- Vaccination af husdyr, jf.<ref>75.00.00</ref>
- Udlejning af husdyr (fx hjorde), jf.<ref>77.39.00</ref>
- Opstaldning af kæledyr, jf.<ref>96.09.00</ref>";;
32;"01.63.00";2;Forarbejdning af afgrøder efter høst;Branchen omfatter serviceydelser (på honorar- eller kontraktbasis), som fx rensning, afpudsning, sortering, sol- eller lufttørring mv.;"- Forarbejdning af afgrøder med henblik på afsætning på de primære markeder, dvs. rensning, afpudsning, sortering, desinficering, tørring, voksning, pudsning
- Bomuldsegrenering
- Forarbejdning af tobaksblade, fx tørring
- Forarbejdning af kakaobønner, fx afskalning
- Voksning af frugt";;"- Producentens forarbejdning af landbrugsprodukter, jf. tilsvarende undergrupper i gruppe<ref>01.1</ref>,<ref>01.2</ref>eller<ref>01.3</ref>
- Stripning og gentørring af tobak, jf.<ref>12.00.00</ref>
- Markedsføringsaktiviteter fra kommissionærer og andelsselskaber, jf. hovedgruppe<ref>46</ref>
- Engrossalg af landbrugsråvarer, jf.<ref>46.2</ref>
- Aktiviteter efter høst der har til formål at forbedre kvaliteten af frø, jf.<ref>01.64.00</ref>";;
33;"01.64.00";2;Forarbejdning af frø/sædekorn til udsæd;Branchen omfatter serviceydelser (på honorar- eller kontraktbasis) i forbindelse med forarbejdning af frø og sædekorn til udsæd;- Alle aktiviteter efter høst, der har til formål at forbedre kvaliteten af frø og sædekorn ved at fjerne materiale, som ikke er frø eller sædekorn, som for eksempel for små, mekanisk- eller insektbeskadigede, eller umodne frø og sædekorn, eller reducere fugten fra frø og sædekorn til et niveau, der tillader sikker opbevaring. Disse aktiviteter omfatter tørring, rensning, sortering og behandling af frø og sædekorn indtil markedsføring.;"- Behandling af genetisk modificerede frø og sædekorn
- Industriel fremstilling og forædling af frø";"- Dyrkning af frø og sædekorn, jf. gruppe<ref>01.1</ref>og<ref>01.2</ref>
- Forarbejdning af frø med henblik på fremstilling af olie, jf.<ref>10.41.00</ref>
- Forskning i udvikling eller ændring af nye typer af frø og sædekorn, jf.<ref>72.11.00</ref>";;
34;"01.70.00";2;Jagt, fældefangst og serviceydelser i forbindelse hermed;Branchen omfatter jagt og fældefangst på kommerciel basis samt fangst af dyr med henblik på produktion af fødevarer og pelsværk eller til anvendelse inden for forskning, i zoologiske haver eller som kæledyr. Branchen omfatter også fremstilling af rå skind og landbaseret fangst af havpattedyr som hvalrosser og sæler samt serviceydelser til jagt og fældefangst.;"- Jagt og fældefangst på kommerciel basis
- Fangst af dyr (døde eller levende) med henblik på produktion af fødevarer, pelsværk, skind eller anvendelse inden for forskning, i zoologiske haver eller som kæledyr
- Serviceydelser i forbindelse med jagt og fældefangst
- Fremstilling af rå pelsskind, krybdyr- eller fugleskind fra jagt eller fældefangst";- Landbaseret fangst af havpattedyr som hvalrosser og sæler;"- Fremstilling af pelsskind, krybdyr- eller fugleskind fra opdrættede dyr, jf. gruppe 01.4- Opdræt af vildtdyr på farme, jf.<ref>01.49.20</ref>
- Hvalfangst, jf.<ref>03.11.00</ref>
- Produktion af huder og skind af dyr, som slagtes på slagterier, jf.<ref>10.11.90</ref>
- Jagt som sport eller fritidsinteresse og serviceydelser i forbindelse hermed, jf.<ref>93.19.00</ref>
- Aktiviteter til fremme af jagt og fældefangst, jf.<ref>94.99.00</ref>";;
35;"02.10.00";2;Dyrkning af træer og andre skovbrugsaktiviteter;Branchen omfatter bl.a. dyrkning af træer (bortset fra juletræer) på rod, træer til papir og energiproduktion, samt virksomheder, der drives af forstplanteskoler. Branchen omfatter ikke fældning af træer eller fremstilling af flis.;"- Dyrkning af træer på rod: beplantning, genplantning, omplantning, udtynding og bevarelse af skove og træbevoksninger
- Dyrkning af lavskov, træ til papirfremstilling og træ til brænde
- Drift af forstplanteskoler
Disse aktiviteter kan udføres i naturlige eller beplantede skove";;"- Dyrkning af juletræer, jf.<ref>01.29.00</ref>
- Drift af træplanteskoler, bortset fra forstplanteskoler, jf.<ref>01.30.00</ref>
- Indsamling af svampe og andet vildtvoksende forstmateriale undtagen træer, jf.<ref>02.30.00</ref>
- Fremstilling af træflis og træspåner, jf.<ref>16.10.00</ref>";;
36;"02.20.00";2;Skovning;Branchen omfatter fremstilling af rundtømmer, indsamling og fremstilling af træ og træhugningsaffald til energi samt fremstilling af trækul i skoven.;"- Skovning
- Fremstilling af rundtømmer til skovbaserede produktionsindustrier
- Fremstilling af rundtømmer, som anvendes i ubehandlet form, fx som minetømmer, hegnspæle og trafikpæle
- Indsamling og fremstilling af træ til energi
- Indsamling og fremstilling af træhugningsaffald til energi
- Fremstilling af trækul i skoven (med traditionelle metoder)
Udbyttet fra denne aktivitet kan være tømmerstokke, træflis eller træ til brænde";;"- Dyrkning af juletræer, jf.<ref>01.29.00</ref>
- Dyrkning af træer på rod: beplantning, genplantning, omplantning, udtynding og bevarelse af skove og træbevoksninger, jf.<ref>02.10.00</ref>
- Indsamling af vildtvoksende forstmateriale undtagen træer, jf.<ref>02.30.00</ref>
- Fremstilling af træflis og træspåner i forbindelse med forarbejdning af træ, jf.<ref>16.10.00</ref>
- Fremstilling af trækul ved trædestillation, jf.<ref>20.14.00</ref>";;
37;"02.30.00";2;Indsamling af vildtvoksende forstmateriale undtagen træer;Branchen omfatter indsamling af vilde planter o. lign. fx bær, svampe, nødder, mos og ålegræs.;"Indsamling af vildtvoksende forstmateriale:
- Svampe, trøfler
- Bær
- Nødder
- Balata og andre gummier
- Kork
- Shellak og harpiks
- Balsam
- Vegetabilsk krølhår
- Ålegræs
- Agern, hestekastanjer
- Mos og lav";;"- Styret fremstilling af ethvert af disse produkter (undtagen dyrkning af korkege), jf. hovedgruppe<ref>01</ref>
- Dyrkning af svampe eller trøfler, jf.<ref>01.13.00</ref>
- Dyrkning af bær eller nødder, jf.<ref>01.25.00</ref>
- Indsamling af træ til brænde, jf.<ref>02.20.00</ref>
- Fremstilling af træflis i forbindelse med forarbejdning af træ, jf.<ref>16.10.00</ref>";;
38;"02.40.00";2;Serviceydelser til skovbrug;Branchen omfatter serviceydelser til skovbrug, såsom konsulentvirksomhed, brandslukning, skadedyrsbekæmpelse samt skovbrugsfortegnelser og tømmerevaluering, transportydelser af tømmerstokke og udlejning af skovbrugsmaskiner.;"Serviceydelser til skovbrug:
- Skovbrugsfortegnelser
- Konsulentvirksomhed vedrørende skovbrugsledelse
- Tømmerevaluering
- Brandslukning og brandsikring af skove
- Skadedyrsbekæmpelse i skove
Serviceydelser til skovning:
- Transport af tømmerstokke i skoven
Udlejning af skovbrugsmaskiner";;"- Drift af forstplanteskoler, jf.<ref>02.10.00</ref>
- Dræning af skovbrugsjord, jf.<ref>43.12.00</ref>
- Rydning af byggepladser, jf.<ref>43.12.00</ref>";;
39;"03.11.00";2;Havfiskeri;Branchen omfatter havfiskeri på kommerciel basis samt fangst, indsamling og høst af vildtlevende fisk, krebs- og bløddyr, hvaler, skildpadder, søpunge, sækdyr og søpindsvin mv i hav og kystfarvande.;"- Fiskeri på kommerciel basis i hav- og kystfarvande
- Fangst af fisk, krebsdyr og bløddyr i hav- og kystfarvande
- Hvalfangst
- Fangst af havlevende dyr: skildpadder, søpunge, sækdyr, søpindsvin mv.";"- Aktiviteter med fartøjer, der anvendes til både havfiskeri samt forarbejdning og konservering af fisk
- Indsamling af andre havlevende organismer og materialer: naturperler, dyriske svampe, koraller og alger";"- Fangst af havpattedyr, bortset fra hvaler, fx hvalrosser, sæler, jf.<ref>01.70.00</ref>
- Forarbejdning af hvaler på fabriksskibe, jf.<ref>10.11.90</ref>
- Forarbejdning af fisk, krebsdyr og bløddyr på fabriksskibe eller på land, jf.<ref>10.20</ref>
- Udlejning af fritidsbåde med besætning til sejlads i hav- og kystfarvande (fx til fiskeriudflugter), jf.<ref>50.10.00</ref>
- Fiskeriinspektion, beskyttelse og afpatruljering, jf.<ref>84.24.00</ref>
- Fiskeri som sport eller fritidsaktivitet og serviceydelser i forbindelse hermed, jf.<ref>93.19.00</ref>
- Drift af sportsfiskerireservater, jf.<ref>93.19.00</ref>";;
40;"03.12.00";2;Ferskvandsfiskeri;Branchen omfatter ferskvandsfiskeri på kommerciel basis samt fangst og indsamling af ferskvandslevende fisk, krebs- og bløddyr samt andre ferskvandslevende organismer.;"- Fiskeri på kommerciel basis i indlandsvande
- Indsamling af ferskvandskrebsdyr og ferskvandsbløddyr
- Fangst af ferskvandslevende dyr";- Indsamling af ferskvandsmateriale;"- Forarbejdning af fisk, krebsdyr og bløddyr, jf.<ref>10.20</ref>
- Fiskeriinspektion, beskyttelse og afpatruljering, jf.<ref>84.24.00</ref>
- Fiskeri som sport eller fritidsaktivitet og serviceydelser i forbindelse hermed, jf.<ref>93.19.00</ref>
- Drift af sportsfiskerireservater, jf.<ref>93.19.00</ref>";;
41;"03.21.00";2;Havbrug;Branchen omfatter akvakultur med saltvand med opdræt og fremstilling af fisk, skaldyr og bløddyr samt fremstilling af yngel og tang.;"- Fiskeopdræt i havvand, herunder opdræt af havlevende prydfisk
- Fremstilling af yngel af muslinger og østers mv., hummeryngel, rejeyngel, fiskeyngel og småfisk
- Dyrkning af purpurhinde og andre spiselige tang- og algetyper
- Opdræt af krebsdyr, muslinger, østers og andre bløddyr samt andre vandlevende dyr i havvand";"- Dambrugsaktiviteter i brakvand
- Akvakulturaktiviteter i saltvandstanke eller saltvandsreservoirer
- Drift af fiskeklækkerier (havvand)
- Drift af havbaserede ormefarme";"- Frøfarme, jf.<ref>03.22.00</ref>
- Drift af sportsfiskerireservater, jf.<ref>93.19.00</ref>";;
42;"03.22.00";2;Ferskvandsbrug;Branchen omfatter akvakultur med ferskvand med opdræt og femstilling af fisk, krebs og bløddyr samt fiskeklækkerier og frøfarme.;"- Fiskeopdræt i ferskvand, herunder opdræt af ferskvandsprydfisk
- Opdræt af krebs og bløddyr samt andre vandlevende dyr i ferskvand
- Drift af fiskeklækkerier (ferskvand)
- Frøfarme";;"- Dambrugsaktiviteter i saltvandstanke og saltvandsreservoirer, jf.<ref>03.21.00</ref>
- Drift af sportsfiskerireservater, jf.<ref>93.19.00</ref>";;
43;"2";1;Industri, råstofindvinding og forsyningsvirksomhed;;;;;;
44;"05.10.00";2;Indvinding af stenkul;Branchen omfatter indvinding af fast mineralsk brændstof som stenkul og kul fra kulstøv, herunder også vask, sortering, pulverisering mv af kul med henblik på klassifikation, kvalitetsforbedring, lagring eller transport.;"- Indvinding af stenkul: brydning under eller over jorden, herunder brydning ved likvifaktionsmetoder
- Vask, sortering, gradering, pulverisering, komprimering mv. af kul med henblik på klassifikation, kvalitetsforbedring, lagring eller transport";- Indvinding af kul fra kulstøv;"- Indvinding af brunkul, jf.<ref>05.20.00</ref>
- Indvinding af tørv, jf.<ref>08.92.00</ref>
- Serviceydelser i forbindelse med indvinding af stenkul, jf.<ref>09.90.00</ref>
- Prøveboring til kulminer, jf.<ref>09.90.00</ref>
- Koksovne til fremstilling af faste brændstoffer, jf.<ref>19.10.00</ref>
- Fremstilling af stenkulsbriketter, jf.<ref>19.20.00</ref>
- Arbejde til udvikling eller klargøring af kulminer, jf.<ref>43.12.00</ref>";;
